Date,CPU Utilization,Total Power,CPU Power,GPU Power
 2024- 12- 3  12: 8: 3. 126,0.10743801652893,17.62439100000054,3.84439100000054,13.78000000000000
 2024- 12- 3  12: 8: 3. 243,0.08333333333333,17.44818799999921,3.64818799999921,13.80000000000000
 2024- 12- 3  12: 8: 3. 362,0.08333333333333,17.46595299999841,3.60595299999841,13.86000000000000
 2024- 12- 3  12: 8: 3. 480,0.09836065573770,17.33220600000081,3.49220600000081,13.84000000000000
 2024- 12- 3  12: 8: 3. 598,0.08333333333333,17.44764900000038,3.47764900000038,13.97000000000000
 2024- 12- 3  12: 8: 3. 716,0.11570247933884,17.45457000000039,3.39457000000039,14.06000000000000
 2024- 12- 3  12: 8: 3. 835,0.09243697478992,17.30134900000099,3.29134900000099,14.01000000000000
 2024- 12- 3  12: 8: 3. 954,0.10000000000000,17.41982399999986,3.38982399999986,14.03000000000000
 2024- 12- 3  12: 8: 4. 73,0.09090909090909,16.91115399999908,3.31115399999908,13.60000000000000
 2024- 12- 3  12: 8: 4. 193,0.10924369747899,16.59280600000071,3.43280600000071,13.16000000000000
 2024- 12- 3  12: 8: 4. 312,0.08403361344538,16.47600299999875,3.34600299999875,13.13000000000000
 2024- 12- 3  12: 8: 4. 431,0.09166666666667,16.33801999999952,3.26801999999952,13.07000000000000
 2024- 12- 3  12: 8: 4. 550,0.09090909090909,16.36994800000008,3.30994800000008,13.06000000000000
 2024- 12- 3  12: 8: 4. 669,0.09090909090909,16.40037299999909,3.34037299999909,13.06000000000000
 2024- 12- 3  12: 8: 4. 788,0.09090909090909,16.34092800000013,3.28092800000013,13.06000000000000
 2024- 12- 3  12: 8: 4. 906,0.08403361344538,16.10173999999897,3.30173999999897,12.80000000000000
 2024- 12- 3  12: 8: 5. 24,0.10084033613445,16.18207899999885,3.37207899999885,12.81000000000000
 2024- 12- 3  12: 8: 5. 143,0.12068965517241,16.96958100000040,4.09958100000040,12.87000000000000
 2024- 12- 3  12: 8: 5. 262,0.10084033613445,17.16025699999882,3.71025699999882,13.45000000000000
 2024- 12- 3  12: 8: 5. 380,0.10924369747899,18.25259400000061,3.63259400000061,14.62000000000000
 2024- 12- 3  12: 8: 5. 499,0.09243697478992,18.76008200000018,3.57008200000018,15.19000000000000
 2024- 12- 3  12: 8: 5. 617,0.10084033613445,19.45347900000117,3.68347900000117,15.77000000000000
 2024- 12- 3  12: 8: 5. 736,0.10084033613445,20.03296700000043,3.67296700000043,16.36000000000000
 2024- 12- 3  12: 8: 5. 854,0.14529914529915,20.65778900000041,4.05778900000041,16.60000000000000
 2024- 12- 3  12: 8: 5. 971,0.09482758620690,21.35453200000003,3.63453200000004,17.72000000000000
 2024- 12- 3  12: 8: 6. 90,0.08474576271186,21.33334199999917,3.63334199999917,17.70000000000000
 2024- 12- 3  12: 8: 6. 209,0.08333333333333,21.26456799999927,3.62456799999927,17.64000000000000
 2024- 12- 3  12: 8: 6. 328,0.08403361344538,20.64919400000035,3.59919400000035,17.05000000000000
 2024- 12- 3  12: 8: 6. 447,0.09166666666667,19.94912600000156,3.45912600000156,16.49000000000000
 2024- 12- 3  12: 8: 6. 566,0.08333333333333,19.16843099999860,3.26843099999860,15.90000000000000
 2024- 12- 3  12: 8: 6. 684,0.08333333333333,18.01736699999899,3.28736699999899,14.73000000000000
 2024- 12- 3  12: 8: 6. 803,0.09166666666667,17.49420600000092,3.31420600000092,14.18000000000000
 2024- 12- 3  12: 8: 6. 922,0.08333333333333,16.66558500000072,3.58558500000072,13.08000000000000
 2024- 12- 3  12: 8: 7. 41,0.08333333333333,16.14019500000119,3.28019500000119,12.86000000000000
 2024- 12- 3  12: 8: 7. 160,0.08333333333333,16.19264299999951,3.32264299999952,12.87000000000000
 2024- 12- 3  12: 8: 7. 277,0.08333333333333,16.16552999999941,3.29552999999942,12.87000000000000
 2024- 12- 3  12: 8: 7. 394,0.08333333333333,16.17291999999987,3.29291999999987,12.88000000000000
 2024- 12- 3  12: 8: 7. 512,0.08333333333333,16.08892899999897,3.22892899999897,12.86000000000000
 2024- 12- 3  12: 8: 7. 630,0.08333333333333,16.11814999999901,3.22814999999900,12.89000000000000
 2024- 12- 3  12: 8: 7. 748,0.09836065573770,16.12333800000000,3.23333800000000,12.89000000000000
 2024- 12- 3  12: 8: 7. 866,0.08333333333333,16.04959000000024,3.11959000000024,12.93000000000000
 2024- 12- 3  12: 8: 7. 985,0.09166666666667,16.06265900000101,3.14265900000100,12.92000000000000
 2024- 12- 3  12: 8: 8. 104,0.08333333333333,16.06299500000016,3.14299500000016,12.92000000000000
 2024- 12- 3  12: 8: 8. 223,0.08333333333333,16.17648400000137,3.25648400000136,12.92000000000000
 2024- 12- 3  12: 8: 8. 340,0.08403361344538,16.10267600000167,3.24267600000167,12.86000000000000
 2024- 12- 3  12: 8: 8. 459,0.08333333333333,16.09513200000001,3.24513200000001,12.85000000000000
